CONS_NO,AREA_ID,FLAG,risk_level,risk_score,estimated_loss,theft_reason
0387DD8A07E07FDA6271170F86AD9151,Area_C,1,Medium,0.5849703256170729,1666.5924637681148,Much lower usage than nearby consumers
01D6177B5D4FFE0CABA9EF17DAFC2B84,Area_D,1,Medium,0.7,0.0,"Long zero consumption pattern, Much lower usage than nearby consumers"
4B75AC4F2D8434CFF62DB64D0BB43103,Area_A,1,Medium,0.6576623352935423,521.376231884058,"Long zero consumption pattern, Much lower usage than nearby consumers"
B32AC8CC6D5D805AC053557AB05F5343,Area_C,1,Medium,0.6081458658736935,1399.3689855072462,Much lower usage than nearby consumers
EDFC78B07BA2908B3395C4EB2304665E,Area_C,1,Medium,0.5000365535805207,1724.0756521739142,Much lower usage than nearby consumers
6BCFD78138BC72A9BA1BFB0B79382192,Area_D,1,Medium,0.6423085769337636,256.56724637681145,"Long zero consumption pattern, Much lower usage than nearby consumers"
34C1954AA3703C4F8BD8EAEA7C4B7B83,Area_A,1,Medium,0.5529823655852175,319.3379710144925,Much lower usage than nearby consumers
768309B0EB11FD436CEE5ABFB84F4C0C,Area_A,1,Medium,0.5000944912112409,570.7069565217392,Much lower usage than nearby consumers
D0A186208CE83FBCCF730857C9A75B6F,Area_C,1,Medium,0.6447461126145841,413.2637681159414,"Long zero consumption pattern, Much lower usage than nearby consumers"
516954F5FF177CE314656D727FCC66A5,Area_B,1,Medium,0.5649709683996149,7780.4452173913005,Sudden abnormal usage drops
C7952FEE130E744EC8CAA7490F72D3F4,Area_C,1,Medium,0.6485624185866461,103.95304347826087,"Long zero consumption pattern, Much lower usage than nearby consumers"
E34D1B467A365835A4A8AAD9395D49AA,Area_C,1,Medium,0.5702129066321373,1333.7495652173911,Much lower usage than nearby consumers
9F61C13255D1183B179753742A24BFAD,Area_C,1,Medium,0.5775852723178669,1007.5495652173915,Much lower usage than nearby consumers
F1D26619E4BC428924BAF5261F705D18,Area_C,1,Medium,0.5018971243613934,2564.254202898552,
EB2DCE9143BF42A1C7E5E218BB77B6A6,Area_D,1,Medium,0.6674746036054194,198.07565217391308,"Long zero consumption pattern, Much lower usage than nearby consumers"
E89F2AD4B103F2E2045EE0F4E60429BC,Area_A,1,Medium,0.5670291650920359,1198.6455072463777,Much lower usage than nearby consumers
441D4A577AAD02F6C003644640C2619C,Area_D,1,Medium,0.50383825295902,2756.9063768115952,
A9601F29D6AE4544F52BD5CB56426E3F,Area_D,1,Medium,0.5057566477409032,1773.8933333333312,
93D2F9BC41BF6CAF05D11345D58C383A,Area_D,1,Medium,0.605247432474868,610.8118840579709,Much lower usage than nearby consumers
369006719ADC2204345D5A156D19821D,Area_C,1,Medium,0.5078377142023446,1649.8310144927532,Much lower usage than nearby consumers
720FAD7A2EA8095703804E9C897F159E,Area_B,1,Medium,0.6001970577750206,584.1956521739129,Much lower usage than nearby consumers
CFA8145DAF03AEC0B30D415E81F95937,Area_A,1,Medium,0.5440813051587005,4347.744637681164,
5C897FDAC2DB3B33B1EC83273F5F08C7,Area_B,1,Medium,0.6207225158182446,9561.164057971017,"Long zero consumption pattern, Sudden abnormal usage drops"
78AA6CB5B9C2AF38C3C0707C82834FB5,Area_D,1,Medium,0.5511099794757868,1741.4275362318833,
BC0A840A5A34E044B9920F557D9A2111,Area_D,1,Medium,0.49297398925144514,20662.037971014477,Sudden abnormal usage drops
51EAAC77A3247A422C4BF350D645EB88,Area_B,1,Medium,0.5827491528314475,1803.5855072463758,Much lower usage than nearby consumers
D9C351E2175E2A50A7B699080D895D32,Area_B,1,Medium,0.5190664927979991,1154.141739130435,Much lower usage than nearby consumers
29682C581F0A0D250A15299ED45ABAAB,Area_B,1,Medium,0.6168636682053762,2056.2915942028985,
1AB6DF6673AF0D809B3FA523C1E7B2D0,Area_D,1,Medium,0.521460386853615,1450.3188405797093,Much lower usage than nearby consumers
CC729BD06C7E8086E700CCCDDDC6D1AA,Area_D,1,Medium,0.6891791218391424,10.491884057971014,"Long zero consumption pattern, Much lower usage than nearby consumers"
7343CAADA8D069F90EBED43D7119DE44,Area_A,1,Medium,0.6359348807557077,1163.4507246376816,"Long zero consumption pattern, Much lower usage than nearby consumers"
F6345430CBBC081D1E522D23DC547D42,Area_A,1,Medium,0.5003191329105922,917.2536231884052,Much lower usage than nearby consumers
7F8F1912B41BAC18D24EB382D9F3FA75,Area_D,1,Medium,0.6082478518734276,1882.95536231884,
49A61B0E884F41D891DEB63DB7840CD8,Area_B,1,Medium,0.5032408966081952,2522.5443478260904,
564C77BEBFD6D10631BD7F7AF81D529B,Area_B,1,Medium,0.5458310079563786,790.6834782608689,Much lower usage than nearby consumers
DD20733C633A11BBFD99DBF899816B00,Area_A,1,Medium,0.6414723504708933,382.4455072463771,"Long zero consumption pattern, Much lower usage than nearby consumers"
A115F9030C968DEBC5618C1359417029,Area_D,1,Medium,0.5326016681178908,1891.7327536231883,
6DA2BD4913B637B27F7966BFF2404805,Area_A,1,Medium,0.5009694806962521,2493.1321739130435,
5B214DB7CE265C5F8C644029A1A1076C,Area_A,1,Medium,0.5680473608350162,1204.2353623188412,Much lower usage than nearby consumers
4200327E5378E4CFB04D01982540A6CF,Area_C,1,Medium,0.6571833667647458,750.7855072463768,"Long zero consumption pattern, Much lower usage than nearby consumers"
1BC425A74948B48CED2DD171224E219C,Area_C,1,Medium,0.5507136921925588,2020.715362318842,Much lower usage than nearby consumers
F6C89465277691CB56E0F829D98D8CE3,Area_C,1,Medium,0.528704548102225,1261.7347826086966,Much lower usage than nearby consumers
D04185D24F978E7F06215FA2908F0E15,Area_B,1,Medium,0.5105871507928632,468.099130434783,Much lower usage than nearby consumers
